Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
55.4,11592172219,73418,157892.8,192577.0,24064,791268,111430.1,ampere_bf16_s16816gemm_bf16_64x64_sliced1x2_ldg8_f2f_stages_64x5_tn
14.4,3017989696,28728,105053.9,104993.0,103072,112320,721.1,ampere_s16816gemm_bf16_128x64_ldg8_stages_32x6_tn
6.4,1343160045,43148,31129.1,31200.0,28928,36896,726.3,ampere_bf16_s16816gemm_bf16_64x64_ldg8_relu_f2f_stages_64x5_tn
5.4,1121368754,3979,281821.8,243073.0,77088,2545674,248840.9,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_tn
4.3,889034687,28728,30946.6,30912.0,29408,37248,508.8,ampere_s16816gemm_bf16_64x64_ldg8_stages_64x6_tn
2.4,509081871,43204,11783.2,12032.0,7936,16128,2289.5,"void flash::flash_fwd_splitkv_kernel<Flash_fwd_kernel_traits<(int)128, (int)64, (int)128, (int)4, (bool)0, (bool)0, cutlass::bfloat16_t, Flash_kernel_traits<(int)128, (int)64, (int)128, (int)4, cutlass::bfloat16_t>>, (bool)0, (bool)0, (bool)0, (bool)0, (bool)1, (bool)0, (bool)1, (bool)0>(flash::Flash_fwd_params)"
1.6,330791136,91336,3621.7,3456.0,3200,36928,1021.7,"std::enable_if<T2>(int)0&&vllm::_typeConvert<T1>::exists, void>::type vllm::fused_add_rms_norm_kernel<c10::BFloat16, (int)8, (bool)1>(T1 *, long, T1 *, const T1 *, float, int, int, long)"
1.4,289375688,91616,3158.6,2944.0,2720,9280,643.1,"void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 12)]::operator ()() const::[lambda(c10::BFloat16) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
1.0,219119329,1120,195642.3,226497.0,10976,302017,84981.1,"void flash::flash_fwd_splitkv_kernel<Flash_fwd_kernel_traits<(int)128, (int)64, (int)128, (int)4, (bool)0, (bool)0, cutlass::bfloat16_t, Flash_kernel_traits<(int)128, (int)64, (int)128, (int)4, cutlass::bfloat16_t>>, (bool)1, (bool)0, (bool)0, (bool)0, (bool)1, (bool)0, (bool)0, (bool)0>(flash::Flash_fwd_params)"
0.9,177937465,28644,6212.0,6144.0,6048,8544,205.3,"void flash::flash_fwd_splitkv_combine_kernel<Flash_fwd_kernel_traits<(int)128, (int)64, (int)128, (int)4, (bool)0, (bool)0, cutlass::bfloat16_t, Flash_kernel_traits<(int)128, (int)64, (int)128, (int)4, cutlass::bfloat16_t>>, (int)4, (int)3, (bool)1>(flash::Flash_fwd_params)"
0.8,159208182,45668,3486.2,2880.0,2272,169153,5324.6,triton_poi_fused_mul_silu_slice_0
